Scenario,KeyType,Metric,Run1,Run2,Run3,RecordCount,Connections
mixed_read_update,UUIDV7,read_iops,0.00,0.00,0.00,100000,4
mixed_read_update,UUIDV7,write_iops,0.55,4.75,0.00,100000,4
mixed_read_update,UUIDV7,read_throughput_mb,0.00,0.00,0.00,100000,4
mixed_read_update,UUIDV7,write_throughput_mb,0.00,0.60,0.00,100000,4
mixed_read_update,ULID,overall_throughput,2925.91,2644.13,2883.81,100000,4
mixed_read_update,ULID,p50_latency_us,938.00,1025.00,968.00,100000,4
mixed_read_update,ULID,p95_latency_us,1716.00,2000.00,1687.00,100000,4
mixed_read_update,ULID,p99_latency_us,24070.00,24876.00,23919.00,100000,4
mixed_read_update,ULID,cache_hit_ratio,0.99,0.99,0.99,100000,4
mixed_read_update,ULID,index_hit_ratio,0.99,0.99,0.99,100000,4
mixed_read_update,ULID,fragmentation,0.00,0.00,0.00,100000,4
mixed_read_update,ULID,table_size_mb,23.72,23.73,23.72,100000,4
mixed_read_update,ULID,index_size_mb,0.00,0.00,0.00,100000,4
mixed_read_update,ULID,read_iops,0.00,0.00,0.00,100000,4
mixed_read_update,ULID,write_iops,0.00,4.70,0.00,100000,4
mixed_read_update,ULID,read_throughput_mb,0.00,0.00,0.00,100000,4
mixed_read_update,ULID,write_throughput_mb,0.00,0.63,0.00,100000,4
mixed_read_update,ULID_MONOTONIC,overall_throughput,2491.36,3038.03,2591.07,100000,4
mixed_read_update,ULID_MONOTONIC,p50_latency_us,1075.00,930.00,1024.00,100000,4
mixed_read_update,ULID_MONOTONIC,p95_latency_us,1951.00,1598.00,2028.00,100000,4
mixed_read_update,ULID_MONOTONIC,p99_latency_us,27327.00,22742.00,25399.00,100000,4
mixed_read_update,ULID_MONOTONIC,cache_hit_ratio,0.99,0.99,0.99,100000,4
mixed_read_update,ULID_MONOTONIC,index_hit_ratio,0.99,0.99,0.99,100000,4
mixed_read_update,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,100000,4
